Date,Close,Dividends
2001-07-13,24.21666717529297,0.0
2001-07-16,22.81333351135254,0.0
2001-07-17,23.75,0.0
2001-07-18,22.76666641235352,0.0
2001-07-19,23.733333587646484,0.0
2001-07-20,23.61666679382324,0.0
2001-07-23,22.89999961853028,0.0
2001-07-24,22.28333282470703,0.0
2001-07-25,21.88333320617676,0.0
2001-07-26,23.916667938232425,0.0
2001-07-27,24.46999931335449,0.0
2001-07-30,24.63333320617676,0.0
2001-07-31,24.63333320617676,0.0
2001-08-01,25.916667938232425,0.0
2001-08-02,26.416667938232425,0.0
2001-08-03,26.08333206176757,0.0
2001-08-06,25.61666679382324,0.0
2001-08-07,25.21999931335449,0.0
2001-08-08,24.933332443237305,0.0
2001-08-09,24.25,0.0
2001-08-10,24.299999237060547,0.0
2001-08-13,24.88333320617676,0.0
2001-08-14,24.983333587646484,0.0
2001-08-15,24.00666618347168,0.0
2001-08-16,23.700000762939453,0.0
2001-08-17,22.86666679382324,0.0
2001-08-20,23.11666679382324,0.0
2001-08-21,22.53333282470703,0.0
2001-08-22,23.233333587646484,0.0
2001-08-23,23.350000381469727,0.0
2001-08-24,24.356666564941406,0.0
2001-08-27,24.89999961853028,0.0
2001-08-28,24.31666755676269,0.0
2001-08-29,23.46666717529297,0.0
2001-08-30,22.83333206176757,0.0
2001-08-31,22.946666717529297,0.0
2001-09-04,22.33333206176757,0.0
2001-09-05,21.56666755676269,0.0
2001-09-06,20.56666755676269,0.0
2001-09-07,20.71666717529297,0.0
2001-09-10,20.696666717529297,0.0
2001-09-17,18.799999237060547,0.0
2001-09-18,18.906667709350582,0.0
2001-09-19,17.316667556762695,0.0
2001-09-20,16.200000762939453,0.0
2001-09-21,15.416666984558104,0.0
2001-09-24,16.950000762939453,0.0
2001-09-25,16.5,0.0
2001-09-26,16.03333282470703,0.0
2001-09-27,15.550000190734863,0.0
2001-09-28,15.983332633972168,0.0
2001-10-01,15.449999809265137,0.0
2001-10-02,15.166666984558104,0.0
2001-10-03,16.616666793823242,0.0
2001-10-04,17.583332061767578,0.0
2001-10-05,17.690000534057617,0.0
2001-10-08,18.39999961853028,0.0
2001-10-09,17.566667556762695,0.0
2001-10-10,18.56666755676269,0.0
2001-10-11,20.21333312988281,0.0
2001-10-12,19.86666679382324,0.0
2001-10-15,19.450000762939453,0.0
2001-10-16,20.049999237060547,0.0
2001-10-17,19.233333587646484,0.0
2001-10-18,18.53333282470703,0.0
2001-10-19,18.68000030517578,0.0
2001-10-22,19.600000381469727,0.0
2001-10-23,19.51666641235352,0.0
2001-10-24,20.1299991607666,0.0
2001-10-25,21.0,0.0
2001-10-26,21.07999992370605,0.0
2001-10-29,19.916667938232425,0.0
2001-10-30,18.71666717529297,0.0
2001-10-31,19.406667709350582,0.0
2001-11-01,20.600000381469727,0.0
2001-11-02,20.799999237060547,0.0
2001-11-05,21.6299991607666,0.0
2001-11-06,22.233333587646484,0.0
2001-11-07,22.3933334350586,0.0
2001-11-08,21.786666870117188,0.0
2001-11-09,21.96333312988281,0.0
2001-11-12,22.38999938964844,0.0
2001-11-13,23.38333320617676,0.0
2001-11-14,23.5,0.0
2001-11-15,23.26666641235352,0.0
2001-11-16,23.183332443237305,0.0
2001-11-19,23.08666610717773,0.0
2001-11-20,21.77666664123535,0.0
2001-11-21,22.049999237060547,0.0
2001-11-23,22.416667938232425,0.0
2001-11-26,23.31999969482422,0.0
2001-11-27,23.34333229064941,0.0
2001-11-28,22.303333282470703,0.0
2001-11-29,22.913333892822266,0.0
2001-11-30,22.61333274841309,0.0
2001-12-03,22.31666755676269,0.0
2001-12-04,23.416667938232425,0.0
2001-12-05,25.28333282470703,0.0
2001-12-06,25.11666679382324,0.0
2001-12-07,24.21666717529297,0.0
2001-12-10,23.700000762939453,0.0
2001-12-11,23.953332901000977,0.0
2001-12-12,23.88333320617676,0.0
2001-12-13,22.753332138061523,0.0
2001-12-14,23.21999931335449,0.0
2001-12-17,23.733333587646484,0.0
2001-12-18,23.916667938232425,0.0
2001-12-19,22.683332443237305,0.0
2001-12-20,21.536666870117188,0.0
2001-12-21,22.07999992370605,0.0
2001-12-24,21.916667938232425,0.0
2001-12-26,22.183332443237305,0.0
2001-12-27,22.52666664123535,0.0
2001-12-28,22.71666717529297,0.0
2001-12-31,22.166667938232425,0.0
2002-01-02,23.06666755676269,0.0
2002-01-03,24.83333206176757,0.0
2002-01-04,24.74666786193848,0.0
2002-01-07,24.203332901000977,0.0
2002-01-08,24.26666641235352,0.0
2002-01-09,24.13333320617676,0.0
2002-01-10,23.86000061035156,0.0
2002-01-11,23.733333587646484,0.0
2002-01-14,23.270000457763672,0.0
2002-01-15,23.33333206176757,0.0
2002-01-16,22.34666633605957,0.0
2002-01-17,22.88333320617676,0.0
2002-01-18,22.299999237060547,0.0
2002-01-22,21.299999237060547,0.0
2002-01-23,21.933332443237305,0.0
2002-01-24,22.273332595825195,0.0
2002-01-25,22.489999771118164,0.0
2002-01-28,22.88666725158692,0.0
2002-01-29,22.36000061035156,0.0
2002-01-30,22.933332443237305,0.0
2002-01-31,23.11333274841309,0.0
2002-02-01,22.88333320617676,0.0
2002-02-04,22.456666946411133,0.0
2002-02-05,22.13333320617676,0.0
2002-02-06,22.06666755676269,0.0
2002-02-07,21.350000381469727,0.0
2002-02-08,21.81666755676269,0.0
2002-02-11,22.65999984741211,0.0
2002-02-12,22.53333282470703,0.0
2002-02-13,23.03333282470703,0.0
2002-02-14,22.90999984741211,0.0
2002-02-15,22.36000061035156,0.0
2002-02-19,21.3799991607666,0.0
2002-02-20,21.81666755676269,0.0
